; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-05 17:53:45
; Channels (8/16)
; ChannelsType: 255
; Sample rate: 100 MHz
; Sample count: 47.683716 M
; Sampling time: 2026-08-05 17:53:30.124
SystemTime, Time(s), roic_reset_p1, sync_p1             , aclk_p1, dout_n_A1, dclk_n_A1, dclk_p_A1, spi_sdo_p1, dout_p_A1
'2026-08-05 17:53:30.193000000,0.000000000,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.198591910,0.005591910,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.198591920,0.005591920,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.207559760,0.014559760,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.207559790,0.014559790,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.208173140,0.015173140,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.208173160,0.015173160,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.208361920,0.015361920,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.208361940,0.015361940,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.211271850,0.018271850,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.211271860,0.018271860,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.214744930,0.021744930,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.214744940,0.021744940,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.215956850,0.022956850,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.215956870,0.022956870,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.216798090,0.023798090,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.216798100,0.023798100,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.218375950,0.025375950,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.218375960,0.025375960,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.224208860,0.031208860,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.224208890,0.031208890,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.228279840,0.035279840,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.228279850,0.035279850,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.228597720,0.035597720,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.228597730,0.035597730,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.237496700,0.044496700,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.237496710,0.044496710,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.238495610,0.045495610,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.238495620,0.045495620,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.238807680,0.045807680,0,1,0,1,0,1,0,1
'2026-08-05 17:53:30.238807690,0.045807690,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239256500,0.046256500,0,0,0,1,1,1,0,1
'2026-08-05 17:53:30.239256510,0.046256510,0,0,0,1,0,1,0,0
'2026-08-05 17:53:30.239256520,0.046256520,0,0,1,1,0,1,0,0
'2026-08-05 17:53:30.239256530,0.046256530,0,0,0,1,0,1,0,1
'2026-08-05 17:53:30.239256540,0.046256540,0,0,1,1,0,0,0,0
'2026-08-05 17:53:30.239256550,0.046256550,0,0,0,1,0,1,0,1
'2026-08-05 17:53:30.239256560,0.046256560,0,0,1,1,0,1,0,0
'2026-08-05 17:53:30.239256570,0.046256570,0,0,0,1,1,1,0,1
'2026-08-05 17:53:30.239256580,0.046256580,0,0,1,1,0,1,0,0
'2026-08-05 17:53:30.239256590,0.046256590,0,0,0,1,1,1,0,1
'2026-08-05 17:53:30.239256600,0.046256600,0,0,1,1,0,1,0,0
'2026-08-05 17:53:30.239256610,0.046256610,0,0,0,1,1,1,0,1
'2026-08-05 17:53:30.239256620,0.046256620,0,0,1,1,0,1,0,0
'2026-08-05 17:53:30.239256630,0.046256630,0,0,0,1,0,1,0,1
'2026-08-05 17:53:30.239256640,0.046256640,0,0,1,1,0,1,0,0
'2026-08-05 17:53:30.239256650,0.046256650,0,0,0,1,0,1,0,1
'2026-08-05 17:53:30.239256660,0.046256660,0,0,1,1,0,0,0,0
'2026-08-05 17:53:30.239256670,0.046256670,0,0,0,1,0,1,0,1
'2026-08-05 17:53:30.239256680,0.046256680,0,0,1,1,0,1,0,0
'2026-08-05 17:53:30.239256690,0.046256690,0,0,0,1,1,1,0,1
'2026-08-05 17:53:30.239256700,0.046256700,0,0,0,1,0,1,0,1
'2026-08-05 17:53:30.239256710,0.046256710,0,0,0,1,1,1,0,0
'2026-08-05 17:53:30.239256720,0.046256720,0,1,0,1,0,0,0,0
'2026-08-05 17:53:30.239256730,0.046256730,0,1,0,0,0,0,0,0
'2026-08-05 17:53:30.239256740,0.046256740,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239256760,0.046256760,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239256790,0.046256790,0,1,0,1,1,1,0,1
'2026-08-05 17:53:30.239256800,0.046256800,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239256810,0.046256810,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239256880,0.046256880,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239256920,0.046256920,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239256990,0.046256990,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239257050,0.046257050,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239257110,0.046257110,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239257160,0.046257160,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239257220,0.046257220,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239257270,0.046257270,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239257350,0.046257350,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239257360,0.046257360,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239257400,0.046257400,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239258520,0.046258520,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239259110,0.046259110,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239259120,0.046259120,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239259210,0.046259210,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239260330,0.046260330,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239261020,0.046261020,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239262140,0.046262140,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239262180,0.046262180,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239262240,0.046262240,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239262480,0.046262480,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239262510,0.046262510,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239262550,0.046262550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239262600,0.046262600,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239262670,0.046262670,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239262710,0.046262710,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239262790,0.046262790,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239262800,0.046262800,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239262830,0.046262830,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239263950,0.046263950,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239263960,0.046263960,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264230,0.046264230,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264240,0.046264240,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264300,0.046264300,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264340,0.046264340,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264440,0.046264440,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264450,0.046264450,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264460,0.046264460,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264480,0.046264480,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264490,0.046264490,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264530,0.046264530,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264550,0.046264550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264560,0.046264560,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264580,0.046264580,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264610,0.046264610,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239264620,0.046264620,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239264640,0.046264640,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239265760,0.046265760,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239266150,0.046266150,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239266160,0.046266160,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239266190,0.046266190,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239266250,0.046266250,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239266260,0.046266260,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239266280,0.046266280,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239266310,0.046266310,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239266320,0.046266320,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239266450,0.046266450,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239267570,0.046267570,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239268260,0.046268260,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239269380,0.046269380,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239269820,0.046269820,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239269880,0.046269880,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239269930,0.046269930,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239269960,0.046269960,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239270020,0.046270020,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239270070,0.046270070,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239271190,0.046271190,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271200,0.046271200,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239271240,0.046271240,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271310,0.046271310,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239271340,0.046271340,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271360,0.046271360,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239271450,0.046271450,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271470,0.046271470,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239271720,0.046271720,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271770,0.046271770,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239271830,0.046271830,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271880,0.046271880,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239273000,0.046273000,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273060,0.046273060,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273070,0.046273070,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273350,0.046273350,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273360,0.046273360,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273460,0.046273460,0,1,0,1,1,1,0,0
