; CSV, generated by atk_libsigrok4 1.0.0 on 2026-07-31 11:04:28
; Channels (5/16)
; ChannelsType: 31
; Sample rate: 20 MHz
; Sample count: 9.536743 M
; Sampling time: 2026-07-31 10:59:07.619
SystemTime, Time(s), STV_mode, oepsn, ud, cpv, chip_sel
'2026-07-31 10:59:07.687000000,0.000000000,0,0,0,1,0
'2026-07-31 10:59:07.687129400,0.000129400,0,0,0,0,1
'2026-07-31 10:59:07.687132350,0.000132350,0,0,0,0,0
'2026-07-31 10:59:07.687132400,0.000132400,0,0,0,1,0
'2026-07-31 10:59:07.687279400,0.000279400,0,0,0,0,1
'2026-07-31 10:59:07.687282350,0.000282350,0,0,0,0,0
'2026-07-31 10:59:07.687282400,0.000282400,0,0,0,1,0
'2026-07-31 10:59:07.687429400,0.000429400,0,0,0,0,1
'2026-07-31 10:59:07.687432350,0.000432350,0,0,0,0,0
'2026-07-31 10:59:07.687432400,0.000432400,0,0,0,1,0
'2026-07-31 10:59:07.687579400,0.000579400,0,0,0,0,1
'2026-07-31 10:59:07.687582350,0.000582350,0,0,0,0,0
'2026-07-31 10:59:07.687582400,0.000582400,0,0,0,1,0
'2026-07-31 10:59:07.687729400,0.000729400,0,0,0,0,1
'2026-07-31 10:59:07.687732350,0.000732350,0,0,0,0,0
'2026-07-31 10:59:07.687732400,0.000732400,0,0,0,1,0
'2026-07-31 10:59:07.687879400,0.000879400,0,0,0,0,1
'2026-07-31 10:59:07.687882350,0.000882350,0,0,0,0,0
'2026-07-31 10:59:07.687882400,0.000882400,0,0,0,1,0
'2026-07-31 10:59:07.688029400,0.001029400,0,0,0,0,1
'2026-07-31 10:59:07.688032350,0.001032350,0,0,0,0,0
'2026-07-31 10:59:07.688032400,0.001032400,0,0,0,1,0
'2026-07-31 10:59:07.688179400,0.001179400,0,0,0,0,1
'2026-07-31 10:59:07.688182350,0.001182350,0,0,0,0,0
'2026-07-31 10:59:07.688182400,0.001182400,0,0,0,1,0
'2026-07-31 10:59:07.688329400,0.001329400,0,0,0,0,1
'2026-07-31 10:59:07.688332350,0.001332350,0,0,0,0,0
'2026-07-31 10:59:07.688332400,0.001332400,0,0,0,1,0
'2026-07-31 10:59:07.688479400,0.001479400,0,0,0,0,1
'2026-07-31 10:59:07.688482350,0.001482350,0,0,0,0,0
'2026-07-31 10:59:07.688482400,0.001482400,0,0,0,1,0
'2026-07-31 10:59:07.688629400,0.001629400,0,0,0,0,1
'2026-07-31 10:59:07.688632350,0.001632350,0,0,0,0,0
'2026-07-31 10:59:07.688632400,0.001632400,0,0,0,1,0
'2026-07-31 10:59:07.688779400,0.001779400,0,0,0,0,1
'2026-07-31 10:59:07.688782350,0.001782350,0,0,0,0,0
'2026-07-31 10:59:07.688782400,0.001782400,0,0,0,1,0
'2026-07-31 10:59:07.688929400,0.001929400,0,0,0,0,1
'2026-07-31 10:59:07.688932350,0.001932350,0,0,0,0,0
'2026-07-31 10:59:07.688932400,0.001932400,0,0,0,1,0
'2026-07-31 10:59:07.689079400,0.002079400,0,0,0,0,1
'2026-07-31 10:59:07.689082350,0.002082350,0,0,0,0,0
'2026-07-31 10:59:07.689082400,0.002082400,0,0,0,1,0
'2026-07-31 10:59:07.689229400,0.002229400,0,0,0,0,1
'2026-07-31 10:59:07.689232350,0.002232350,0,0,0,0,0
'2026-07-31 10:59:07.689232400,0.002232400,0,0,0,1,0
'2026-07-31 10:59:07.689379400,0.002379400,0,0,0,0,1
'2026-07-31 10:59:07.689382350,0.002382350,0,0,0,0,0
'2026-07-31 10:59:07.689382400,0.002382400,0,0,0,1,0
'2026-07-31 10:59:07.689529400,0.002529400,0,0,0,0,1
'2026-07-31 10:59:07.689532350,0.002532350,0,0,0,0,0
'2026-07-31 10:59:07.689532400,0.002532400,0,0,0,1,0
'2026-07-31 10:59:07.689679400,0.002679400,0,0,0,0,1
'2026-07-31 10:59:07.689682350,0.002682350,0,0,0,0,0
'2026-07-31 10:59:07.689682400,0.002682400,0,0,0,1,0
'2026-07-31 10:59:07.689829400,0.002829400,0,0,0,0,1
'2026-07-31 10:59:07.689832350,0.002832350,0,0,0,0,0
'2026-07-31 10:59:07.689832400,0.002832400,0,0,0,1,0
'2026-07-31 10:59:07.689979350,0.002979350,0,0,0,1,1
'2026-07-31 10:59:07.689979400,0.002979400,0,0,0,0,1
'2026-07-31 10:59:07.689982350,0.002982350,0,0,0,1,0
'2026-07-31 10:59:07.690129350,0.003129350,0,0,0,0,1
'2026-07-31 10:59:07.690132350,0.003132350,0,0,0,1,0
'2026-07-31 10:59:07.690279350,0.003279350,0,0,0,0,1
'2026-07-31 10:59:07.690282350,0.003282350,0,0,0,1,0
'2026-07-31 10:59:07.690429350,0.003429350,0,0,0,0,1
'2026-07-31 10:59:07.690432350,0.003432350,0,0,0,1,0
'2026-07-31 10:59:07.690579350,0.003579350,0,0,0,0,1
