Sample in Buffer,Sample in Window,TRIGGER,frame_start_1,frame_done,line_done,busy,nt39_state[3:0],stv2,stv1,cpv,chip_sel2,chip_sel1,stv_mode,sel,mode2,mode1,lr,ud,oe2,oe1,frame_start,line_start_pulse,xao,oepsn,nt39_cnt[9:0],nt39_shift_cnt[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
1,1,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
2,2,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
3,3,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
4,4,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
5,5,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
6,6,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
7,7,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
8,8,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
9,9,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
10,10,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
11,11,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
12,12,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
13,13,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
14,14,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
15,15,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
16,16,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
17,17,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
18,18,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
19,19,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
20,20,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
21,21,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
22,22,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
23,23,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
24,24,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
25,25,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
26,26,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
27,27,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
28,28,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
29,29,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
30,30,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
31,31,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
32,32,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
33,33,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
34,34,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
35,35,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
36,36,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
37,37,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
38,38,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
39,39,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
40,40,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
41,41,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
42,42,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
43,43,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
44,44,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
45,45,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
46,46,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
47,47,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
48,48,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
49,49,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
50,50,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
51,51,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
52,52,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
53,53,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
54,54,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
55,55,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
56,56,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
57,57,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
58,58,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
59,59,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
60,60,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
61,61,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
62,62,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
63,63,1,1,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,000,c
64,64,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
65,65,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
66,66,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
67,67,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
68,68,0,0,0,0,1,b,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,000,c
69,69,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,000,c
70,70,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,001,c
71,71,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,002,c
72,72,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,003,c
73,73,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,004,c
74,74,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,005,c
75,75,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,006,c
76,76,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,007,c
77,77,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,008,c
78,78,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,009,c
79,79,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,00a,c
80,80,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,00b,c
81,81,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,00c,c
82,82,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,00d,c
83,83,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,00e,c
84,84,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,00f,c
85,85,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,010,c
86,86,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,011,c
87,87,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,012,c
88,88,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,013,c
89,89,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,014,c
90,90,0,0,0,0,1,"CPV_LOW_S",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,015,c
